Item,,Min_UnitCost,Avg_UnitCost,Max_UnitCost
High tensile steel rod; 10mm diameter round bars x 12meters,Each,168,252,378
High tensile steel rod; 12mm diameter deformed bars x12 meters,Each,238,357,535.5
High tensile steel rod; 12mm diameter round bars x 12meters,Each,218,327,490.5
High tensile steel rod; 16mm diameter deformed bars x 12 meters,Each,409,613.5,920.25
High tensile steel rod; 16mm diameter round bars x 12meters,Each,372,558,837
High tensile steel rod; 20mm diameter deformed bars x 12 meters,Each,760,1140,1710
High tensile steel rod; 20mm diameter round bars x 12meters,Each,473,709.5,1064.25
High tensile steel rod; 25mm diameter deformed bars x 12 meters,Each,1108,1662,2493
High tensile steel rod; 32mm diameter deformed bars x 12meters,Each,1438,2157,3235.5
High tensile steel rod; 6mm diameter round bars x 6 meters,Each,70,105,157.5
High tensile steel rod; 8mm diameter deformed bars x12 meters,Each,140,210,315
High tensile steel rod; 8mm diameter round bars x 12meters,Each,129,193.5,290.25
Hinges - Butterfly - 4 inch,Each,43,64.5,96.75
Hinges - Butterfly-5 inch,Each,67,100.5,150.75
Hinges - Butterfly-6 inch,Each,73,109.5,164.25
Inspection bend - 32mm(1 ¼ inches) Diameter - PVC,Each,22,33,49.5
Inspection bend - 38mm( 1 ½ inches) Diameter- PVC,Each,28,42,63
Inspection Tee - 110mm (4.3 inches) Diameter - PVC,Each,94,141,211.5
J-hook (roofing bolt) 4 inches (102mm),kg,251,376.5,564.75
J-hook (roofing bolt) 9 inches (229mm),kg,295,442.5,663.75
Lamp holder (lightbulb socket),Each,25,37.5,56.25
Laterite (Gravel),Ton,498,747,1120.5
Laundry Concrete Trough - Double bowl,Each,1208,1812,2718
Laundry Concrete Trough - Single bowl,Each,1128,1692,2538
Laundry Stainless Steel Trough - Double bowl,Each,4999,7498.5,11247.75
Laundry Stainless Steel Trough - Single bowl,Each,2972,4458,6687
Lipped Channels 100 x 75 x 20 x 3mm 12m,Each,1532,2298,3447
Lipped Channels 150 x 50 x 20 x 3mm 12m,Each,2136,3204,4806
Lipped Channels 200 x 50 x 20 x 3mm 12m,Each,3014,4521,6781.5
Lipped Channels 250 x 50 x 20 x 3mm 12m,Each,3450,5175,7762.5
Lipped Channels 300 x 50 x 20 x 3mm 12m,Each,4025,6037.5,9056.25
Lipped Channels 75 x 50 x 20 x 3mm - 12m,Each,1329,1993.5,2990.25
Male adaptor -13mm (½ inch) - PVC,Each,21,31.5,47.25
Male adaptor -13mm (½ inch)- GI,Each,24,36,54
Nipple - 13mm (½ inch) - GI,Each,19,28.5,42.75
Nipple -13mm (½ inch) - PVC,Each,12,18,27
Non return Valves - 38mm (1 ½ inch) - Brass,Each,254,381,571.5
Nylon rope 12mm x 50m,Each,551,826.5,1239.75
Nylon rope 20mm x 50m,Each,754,1131,1696.5
Nylon rope 6mm x 50m,Each,311,466.5,699.75
Padlock - Brass long shackle 30mm,Each,91,136.5,204.75
Padlock - Brass long shackle 63mm,Each,183,274.5,411.75
Padlock - Discus 60mm,Each,103,154.5,231.75
Padlock - Discus 90mm,Each,139,208.5,312.75
Padlock - Iron 32mm,Each,61,91.5,137.25
Padlock - Iron 52mm,Each,99,148.5,222.75
Paint - Black Bituminous - 5 Litres,Each,157,235.5,353.25
Paint - Brick Varnish 5 litres,Each,618,927,1390.5
Paint - Clear Vanish 5 litres,Each,569,853.5,1280.25
Paint - Gloss (Oil paint) - 5 Litres,Each,517,775.5,1163.25
Paint - PVA (Emulsion paint) - 20Litres,Each,437,655.5,983.25
Paint - PVA (Emulsion paint) - 5Litres,Each,165,247.5,371.25
Paint - PVA Washable paint-20Ltrs,Each,1651,2476.5,3714.75
Paint - Red oxide 5 litres,Each,439,658.5,987.75
Paint - Wood Vanish 5 litres,Each,591,886.5,1329.75
Paint Brush 1.5 inch (38mm),Each,18,27,40.5
Paint Brush 2 inch (51mm),Each,25,37.5,56.25
Paint Brush 4 inch (102mm),Each,39,58.5,87.75
Paint Brush 6 inch (152mm),Each,57,85.5,128.25
Paint Brush 8 inch (203mm),Each,65,97.5,146.25
Paint -Undercoat paint - 20Litres,Each,562,843,1264.5
Pan connector - 110mm Diameter PVC,Each,67,100.5,150.75
Particle Ceiling Board - 8mm sheet,Each,307,460.5,690.75
Pipe 13mm (½ inch ) diameter GI -6m,Each,381,571.5,857.25
